date,spend,revenue,impressions,reach,frequency,cpm,clicks,cpc,ctr,lp_views,checkouts,purchases,roas,cpp,lp_view_rate,checkout_rate,close_rate,profit,margin
2026-01-03,6703.04,10096.86,768684,271547,2.83,8.72,16078,0.42,2.09,7014.0,399.0,261.0,1.51,25.68,43.62,5.69,65.41,3393.82,33.61
2026-01-03,6703.08,10096.86,768696,271547,2.83,8.72,16079,0.42,2.09,7014.0,399.0,261.0,1.51,25.68,43.62,5.69,65.41,3393.78,33.61
2026-01-03,6703.3,10096.86,768710,271547,2.83,8.72,16079,0.42,2.09,7014.0,399.0,261.0,1.51,25.68,43.62,5.69,65.41,3393.56,33.61
2026-01-03,6703.36,10096.86,768716,271547,2.83,8.72,16080,0.42,2.09,7014.0,399.0,261.0,1.51,25.68,43.62,5.69,65.41,3393.5,33.61
2026-01-04,10842.05,11955.86,1153886,359088,3.21,9.4,22105,0.49,1.92,9625.0,451.0,325.0,1.1,33.36,43.54,4.69,72.06,1113.81,9.32
2026-01-04,10842.12,11955.86,1153945,359088,3.21,9.4,22106,0.49,1.92,9625.0,451.0,325.0,1.1,33.36,43.54,4.69,72.06,1113.74,9.32
2026-01-04,10842.2,11955.86,1154003,359088,3.21,9.4,22107,0.49,1.92,9625.0,451.0,325.0,1.1,33.36,43.54,4.69,72.06,1113.66,9.31
2026-01-04,10842.27,11955.86,1154079,359088,3.21,9.39,22107,0.49,1.92,9625.0,451.0,325.0,1.1,33.36,43.54,4.69,72.06,1113.59,9.31
2026-01-04,10842.27,11955.86,1154107,359088,3.21,9.39,22107,0.49,1.92,9625.0,451.0,325.0,1.1,33.36,43.54,4.69,72.06,1113.59,9.31
2026-01-04,10842.27,11955.86,1154143,359088,3.21,9.39,22107,0.49,1.92,9625.0,451.0,325.0,1.1,33.36,43.54,4.69,72.06,1113.59,9.31
2026-01-04,10842.27,11955.86,1154149,359088,3.21,9.39,22107,0.49,1.92,9625.0,451.0,325.0,1.1,33.36,43.54,4.69,72.06,1113.59,9.31
2026-01-04,10842.27,11955.86,1154166,359088,3.21,9.39,22108,0.49,1.92,9625.0,451.0,325.0,1.1,33.36,43.54,4.69,72.06,1113.59,9.31
2026-01-04,10842.27,11955.86,1154171,359088,3.21,9.39,22108,0.49,1.92,9625.0,451.0,325.0,1.1,33.36,43.54,4.69,72.06,1113.59,9.31
2026-01-05,16727.56,11164.0,1626963,448158,3.63,10.28,30884,0.54,1.9,12727.0,396.0,295.0,0.67,56.7,41.21,3.11,74.49,-5563.56,-49.83
2026-01-05,16729.04,11164.0,1627082,448158,3.63,10.28,30884,0.54,1.9,12727.0,396.0,295.0,0.67,56.71,41.21,3.11,74.49,-5565.04,-49.85
2026-01-05,16730.29,11164.0,1627159,448158,3.63,10.28,30885,0.54,1.9,12727.0,396.0,295.0,0.67,56.71,41.21,3.11,74.49,-5566.29,-49.86
2026-01-05,16731.48,11164.0,1627243,448158,3.63,10.28,30887,0.54,1.9,12727.0,396.0,295.0,0.67,56.72,41.21,3.11,74.49,-5567.48,-49.87
2026-01-05,16732.16,11164.0,1627306,448158,3.63,10.28,30890,0.54,1.9,12727.0,396.0,295.0,0.67,56.72,41.2,3.11,74.49,-5568.16,-49.88
2026-01-05,16732.86,11164.0,1627349,448158,3.63,10.28,30893,0.54,1.9,12727.0,396.0,295.0,0.67,56.72,41.2,3.11,74.49,-5568.86,-49.88
2026-01-05,16732.98,11164.0,1627366,448158,3.63,10.28,30893,0.54,1.9,12727.0,396.0,295.0,0.67,56.72,41.2,3.11,74.49,-5568.98,-49.88
2026-01-05,16733.31,11164.0,1627400,448158,3.63,10.28,30895,0.54,1.9,12727.0,396.0,295.0,0.67,56.72,41.19,3.11,74.49,-5569.31,-49.89
2026-01-05,16733.43,11164.0,1627412,448158,3.63,10.28,30895,0.54,1.9,12727.0,396.0,295.0,0.67,56.72,41.19,3.11,74.49,-5569.43,-49.89
2026-01-06,19871.25,10552.0,1712236,465863,3.68,11.61,34499,0.58,2.01,12794.0,351.0,268.0,0.53,74.15,37.09,2.74,76.35,-9319.25,-88.32
2026-01-06,19872.37,10552.0,1712316,465863,3.68,11.61,34502,0.58,2.01,12794.0,351.0,268.0,0.53,74.15,37.08,2.74,76.35,-9320.37,-88.33
2026-01-06,19872.68,10552.0,1712359,465863,3.68,11.61,34504,0.58,2.01,12794.0,351.0,268.0,0.53,74.15,37.08,2.74,76.35,-9320.68,-88.33
2026-01-06,19873.22,10552.0,1712403,465863,3.68,11.61,34505,0.58,2.02,12794.0,351.0,268.0,0.53,74.15,37.08,2.74,76.35,-9321.22,-88.34
2026-01-06,19873.42,10552.0,1712434,465863,3.68,11.61,34505,0.58,2.01,12794.0,351.0,268.0,0.53,74.15,37.08,2.74,76.35,-9321.42,-88.34
2026-01-06,19873.61,10552.0,1712465,465863,3.68,11.61,34506,0.58,2.01,12794.0,351.0,268.0,0.53,74.16,37.08,2.74,76.35,-9321.61,-88.34
2026-01-06,19873.74,10552.0,1712476,465863,3.68,11.61,34506,0.58,2.01,12794.0,351.0,268.0,0.53,74.16,37.08,2.74,76.35,-9321.74,-88.34
